Designator,Footprint,Quantity,Value,LCSC Part #
"J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1, J10_6, J10_5, J10_4, J10_3, J10_2, J10, J11_6, J11_5, J11_4, J11_3, J11_2, J11, J12_6, J12_5, J12_4, J12_3, J12_2, J12, J13_6, J13_5, J13_4, J13_3, J13_2, J13, J14_7, J14_6, J14_5, J14_4, J14_3, J14_2, J14, J15_7, J15_6, J15_5, J15_4, J15_3, J15_2, J15, J16_7, J16_6, J16_5, J16_4, J16_3, J16_2, J16, J17_7, J17_6, J17_5, J17_4, J17_3, J17_2, J17, J18_7, J18_6, J18_5, J18_4, J18_3, J18_2, J18, J19_7, J19_6, J19_5, J19_4, J19_3, J19_2, J19, J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2, J20_6, J20_5, J20_4, J20_3, J20_2, J20, J21_6, J21_5, J21_4, J21_3, J21_2, J21, J22_6, J22_5, J22_4, J22_3, J22_2, J22, J23_6, J23_5, J23_4, J23_3, J23_2, J23, J24_6, J24_5, J24_4, J24_3, J24_2, J24, J25_6, J25_5, J25_4, J25_3, J25_2, J25, J26_6, J26_5, J26_4, J26_3, J26_2, J26, J27_6, J27_5, J27_4, J27_3, J27_2, J27, J28_5, J28_4, J28_3, J28_2, J28, J29_5, J29_4, J29_3, J29_2, J29, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3, J30_5, J30_4, J30_3, J30_2, J30, J31_5, J31_4, J31_3, J31_2, J31, J32_5, J32_4, J32_3, J32_2, J32, J33_5, J33_4, J33_3, J33_2, J33, J34_5, J34_4, J34_3, J34_2, J34, J35_5, J35_4, J35_3, J35_2, J35, J36_5, J36_4, J36_3, J36_2, J36, J37_5, J37_4, J37_3, J37_2, J37, J4_8, J4_7, J4_6, J4_5, J4_4, J4_3, J4_2, J4, J5_8, J5_7, J5_6, J5_5, J5_4, J5_3, J5_2, J5, J6_6, J6_5, J6_4, J6_3, J6_2, J6, J7_6, J7_5, J7_4, J7_3, J7_2, J7, J8_6, J8_5, J8_4, J8_3, J8_2, J8, J9_6, J9_5, J9_4, J9_3, J9_2, J9",pin_pad,228,Conn_01x01_Pin,
"U1_6, U1_5, U1_4, U1_3, U1_2, U1",SOIC8,6,SOIC8,
"U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",SOT-23-5,8,SOT_32-5,
"U3_7, U3_6, U3_5, U3_4, U3_3, U3_2, U3",SOT-23-6,7,SOT_32-6,
"U4_6, U4_5, U4_4, U4_3, U4_2, U4",MSOP-8,6,MSOP8,
"U5_5, U5_4, U5_3, U5_2, U5",TSSOP-10,5,TSSOP-10,
