Designator,Mid X,Mid Y,Rotation,Layer
J30_3,133.4008,-121.285,0.0,top
J30_2,133.4008,-60.1218,0.0,top
J30,133.4008,-75.9968,0.0,top
J31_5,133.4008,-109.6518,0.0,top
J31_4,133.4008,-123.825,0.0,top
J31_3,133.4008,-94.4118,0.0,top
J31_2,133.4008,-78.5368,0.0,top
J31,133.4008,-62.6618,0.0,top
J32_5,133.4008,-81.0768,0.0,top
J32_4,133.4008,-126.365,0.0,top
J32_3,133.4008,-112.1918,0.0,top
J32_2,133.4008,-65.2018,0.0,top
J32,133.4008,-96.9518,0.0,top
J33_5,143.5608,-55.0418,0.0,top
J33_4,143.5608,-102.0318,0.0,top
J33_3,143.5608,-116.205,0.0,top
J33_2,143.5608,-70.9168,0.0,top
J33,143.5608,-86.7918,0.0,top
J34_5,143.5608,-57.5818,0.0,top
J34_4,143.5608,-118.745,0.0,top
J34_3,143.5608,-104.5718,0.0,top
J34_2,143.5608,-89.3318,0.0,top
J34,143.5608,-73.4568,0.0,top
J35_5,143.5608,-60.1218,0.0,top
J35_4,143.5608,-121.285,0.0,top
J35_3,143.5608,-91.8718,0.0,top
J35_2,143.5608,-107.1118,0.0,top
J35,143.5608,-75.9968,0.0,top
J36_5,143.5608,-78.5368,0.0,top
J36_4,143.5608,-109.6518,0.0,top
J36_3,143.5608,-123.825,0.0,top
J36_2,143.5608,-62.6618,0.0,top
J36,143.5608,-94.4118,0.0,top
J37_5,143.5608,-112.1918,0.0,top
J37_4,143.5608,-126.365,0.0,top
J37_3,143.5608,-96.9518,0.0,top
J37_2,143.5608,-81.0768,0.0,top
J37,143.5608,-65.2018,0.0,top
J4_8,82.6008,-102.7454,0.0,top
J4_7,82.6008,-111.8108,0.0,top
J4_6,82.6008,-63.4492,0.0,top
J4_5,82.6008,-55.0418,0.0,top
J4_4,82.55,-121.2342,0.0,top
J4_3,82.6008,-82.5447,0.0,top
J4_2,82.61,-72.4908,0.0,top
J4,82.6008,-93.6308,0.0,top
